"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M","B25063_025E","B25063_025M","B25063_026E","B25063_026M","B25063_027E","B25063_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 to $2,499","Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Estimate!!Total!!With cash rent!!$2,500 to $2,999","Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Estimate!!Total!!With cash rent!!$3,000 to $3,499","Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Estimate!!Total!!With cash rent!!$3,500 or more","Margin of Error!!Total!!With cash rent!!$3,500 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent"
"0500000US36001","Albany County, New York","56415","2907","54855","2901","103","137","158","174","561","348","1150","555","848","461","895","480","843","487","413","309","355","323","573","375","1774","799","1091","641","2505","846","3289","686","3277","1026","7489","1668","8193","1597","11257","1530","6105","1327","3207","986","310","237","131","122","188","302","140","120","1560","641"
"0500000US36005","Bronx County, New York","402668","4478","389998","4395","978","482","1280","586","2084","824","14225","1618","12497","1827","9584","1476","6846","1399","7153","1227","6954","1340","7118","1069","4783","978","6953","1409","6558","1213","9803","1833","8000","1377","18736","2481","29574","3077","97936","4449","68628","4745","55089","4149","11752","1851","1611","638","1444","824","412","329","12670","1697"
"0500000US36007","Broome County, New York","28012","1726","26865","1782","0","190","0","190","45","79","240","136","235","183","475","268","448","279","582","314","1425","597","2263","737","2842","782","2590","778","2325","889","1841","578","1307","508","3690","940","2451","823","1905","574","763","318","818","445","74","99","107","91","439","278","0","190","1147","449"
"0500000US36009","Cattaraugus County, New York","9618","976","8948","965","11","19","120","109","188","150","542","265","252","235","454","278","68","55","164","84","341","165","1028","408","1036","480","784","309","696","315","640","292","450","275","814","357","597","261","376","253","205","197","90","86","92","147","0","190","0","190","0","190","670","309"
"0500000US36011","Cayuga County, New York","9334","1127","8946","1096","0","190","0","190","112","151","24","29","108","138","304","228","0","190","114","132","527","292","449","196","983","551","1054","445","902","505","910","409","600","341","1109","502","523","288","522","341","501","407","204","155","0","190","0","190","0","190","0","190","388","193"
"0500000US36013","Chautauqua County, New York","15676","1349","14271","1388","0","190","0","190","14","24","149","160","398","287","453","311","595","356","929","454","1135","494","1285","484","2410","800","1058","468","935","358","1176","562","1061","527","1030","408","558","306","718","401","275","267","92","152","0","190","0","190","0","190","0","190","1405","448"
"0500000US36015","Chemung County, New York","9990","1040","9632","1044","68","100","0","190","16","29","461","311","332","195","456","315","133","162","311","185","384","296","357","235","605","325","588","346","514","273","590","351","525","310","751","355","922","425","1789","708","463","304","279","214","0","190","0","190","88","145","0","190","358","225"
"0500000US36019","Clinton County, New York","10769","1347","10100","1351","80","102","0","190","263","255","18","30","322","311","42","63","101","94","0","190","616","399","593","453","597","411","928","502","513","267","1195","482","888","457","927","435","1403","721","1216","418","169","152","204","220","0","190","0","190","25","44","0","190","669","361"
"0500000US36027","Dutchess County, New York","34261","2435","32216","2349","0","190","0","190","245","282","280","182","67","84","302","224","655","406","534","434","490","314","523","515","256","181","883","404","303","239","823","466","1147","584","1647","571","1989","884","9453","1402","4503","909","4903","1010","2417","918","297","196","344","395","155","130","2045","802"
