"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M","B25063_025E","B25063_025M","B25063_026E","B25063_026M","B25063_027E","B25063_027M"
"0500000US36001","Albany County, New York","55257","2874","54073","2834","0","201","486","552","12","20","409","281","734","464","582","343","887","576","1064","626","366","261","809","563","404","272","1409","555","1581","771","1508","693","2339","923","7035","1712","7962","1684","13491","1918","5929","1189","5191","1574","1269","583","453","443","69","113","84","138","1184","496"
"0500000US36053","Madison County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36081","Queens County, New York","431140","6279","412800","6341","79","94","351","376","524","398","4205","1162","2892","953","4993","1572","2880","1211","2493","1037","2289","915","2557","775","2569","822","3272","1042","4135","1347","4653","1178","3281","892","7478","1427","16713","2253","50325","5018","66640","3854","136682","5593","66551","4185","18364","2124","6037","1067","2837","876","18340","2264"
"0500000US36117","Wayne County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36005","Bronx County, New York","413699","4701","403498","4965","416","262","1192","617","2502","877","16719","2327","13446","1927","7712","1734","8063","1812","6923","2017","8526","2001","6225","1519","5374","1394","6700","1818","5594","1459","7426","1685","6845","1682","18157","2242","20007","2552","79725","4935","80178","4883","78652","4547","19579","2199","2456","815","1081","525","0","201","10201","1719"
"0500000US36089","St. Lawrence County, New York","11839","1313","10945","1271","0","201","0","201","68","110","352","327","572","395","102","102","254","199","371","226","516","362","649","420","1105","633","545","320","1356","696","586","277","707","416","1013","467","727","462","1415","634","307","217","209","161","65","66","26","63","0","201","0","201","894","384"
"0500000US36085","Richmond County, New York","51569","2873","49465","2769","76","130","935","455","1172","752","1068","655","506","288","1425","831","258","209","779","490","878","498","887","540","264","231","798","618","579","512","579","511","1105","874","1999","764","1562","642","8482","1686","8403","1520","10322","1850","4466","1400","2185","1050","629","479","108","134","2104","711"
"0500000US36093","Schenectady County, New York","20588","1652","19434","1736","99","124","0","201","335","376","758","438","720","459","658","434","0","201","148","124","161","173","74","91","334","269","262","233","652","402","1036","578","1300","489","1514","551","2323","797","5494","1151","1313","523","1242","627","775","575","0","201","0","201","236","214","1154","662"
"0500000US36009","Cattaraugus County, New York","9153","1174","8441","1109","0","201","129","170","47","78","350","155","191","136","104","100","121","112","402","295","376","295","749","444","606","416","520","244","815","431","1268","595","457","317","834","464","485","236","681","351","68","79","149","199","55","74","0","201","34","60","0","201","712","341"
"0500000US36055","Monroe County, New York","106321","3472","104621","3572","454","383","195","291","349","335","2284","744","1591","607","1727","806","1988","746","1513","716","1580","594","1902","516","3195","796","3581","926","3914","912","4323","950","5140","1177","15774","1974","14379","1939","21030","2085","10052","1508","6783","1162","1865","650","447","350","476","266","79","93","1700","594"
"0500000US36105","Sullivan County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36007","Broome County, New York","27081","2519","25606","2376","0","201","29","50","23","40","560","281","348","221","593","514","183","218","820","428","854","421","860","436","1824","828","2298","743","1757","624","2240","982","1952","926","3890","924","2531","849","3106","867","638","400","301","284","548","337","80","97","171","142","0","201","1475","690"
"0500000US36027","Dutchess County, New York","34354","2242","33266","2213","50","81","119","173","234","245","290","223","229","175","496","395","463","309","91","142","65","71","196","174","481","372","376","281","347","309","880","530","1113","614","2760","986","2275","794","6745","1314","7800","1441","5778","1305","1499","478","543","299","388","383","48","81","1088","500"
"0500000US36101","Steuben County, New York","10854","1080","10243","1037","0","201","12","20","81","106","366","241","358","241","566","432","458","423","591","400","682","336","484","341","515","261","849","417","957","403","841","476","464","302","363","188","398","199","1165","438","825","381","210","226","45","71","0","201","13","22","0","201","611","209"
