"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M","B25063_025E","B25063_025M","B25063_026E","B25063_026M","B25063_027E","B25063_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 to $2,499","Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Estimate!!Total!!With cash rent!!$2,500 to $2,999","Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Estimate!!Total!!With cash rent!!$3,000 to $3,499","Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Estimate!!Total!!With cash rent!!$3,500 or more","Margin of Error!!Total!!With cash rent!!$3,500 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent"
"0500000US36083","Rensselaer County, New York","23757","1771","23431","1763","23","41","0","201","44","77","380","279","289","232","392","330","403","315","160","140","559","538","311","219","230","161","1049","505","750","471","1161","640","773","467","2781","832","3150","820","5268","1146","2542","943","2748","863","418","279","0","201","0","201","0","201","326","190"
"0500000US36013","Chautauqua County, New York","16269","1710","15155","1552","45","77","0","201","280","278","324","236","373","262","384","233","531","314","996","491","1234","516","815","334","1244","540","1457","476","804","370","1278","678","880","461","1739","718","810","386","1089","602","497","376","235","230","96","114","44","75","0","201","0","201","1114","429"
"0500000US36019","Clinton County, New York","9920","1507","9025","1419","55","86","0","201","31","54","60","76","335","232","76","76","89","131","520","326","215","186","86","113","282","254","288","172","696","502","721","462","596","334","1693","765","1042","539","1585","673","410","296","200","189","45","75","0","201","0","201","0","201","895","491"
"0500000US36061","New York County, New York","572050","10750","558790","10972","987","591","883","624","4159","1607","14850","2631","11130","2083","8519","2051","5397","1553","6660","1647","6931","1691","4465","1417","7456","1884","5031","1464","6793","1506","8377","2332","7257","1836","19590","2965","23529","3147","51967","4511","43350","4534","85574","5550","74424","5887","55541","4246","49589","4340","56331","5029","13260","2855"
"0500000US36091","Saratoga County, New York","26902","2376","26480","2326","0","201","0","201","86","141","62","106","359","278","287","295","171","145","94","154","138","146","303","226","280","244","488","350","800","412","800","560","643","350","3077","1046","3058","944","5448","1292","4253","1284","3813","1012","1374","553","604","370","49","81","293","352","422","332"
"0500000US36109","Tompkins County, New York","17774","1756","17332","1747","0","201","0","201","0","201","156","208","131","242","153","155","171","235","0","201","294","309","275","177","156","174","825","533","233","180","290","226","427","313","1005","519","2045","882","4095","865","2651","683","2834","879","1339","625","39","67","47","92","166","146","442","292"
"0500000US36065","Oneida County, New York","29929","1812","27553","1730","0","201","245","333","214","190","994","684","543","375","370","228","155","150","350","225","557","260","1111","522","1557","715","2245","826","2254","741","2784","810","2503","814","3885","1101","1510","642","3803","903","937","437","758","361","334","256","241","229","203","155","0","201","2376","661"
"0500000US36075","Oswego County, New York","11873","1314","11198","1291","0","201","0","201","238","246","203","154","201","193","70","72","123","143","89","91","107","103","892","561","351","274","661","345","1279","703","1086","511","1045","414","995","404","1046","470","1962","769","638","352","181","182","31","54","0","201","0","201","0","201","675","242"
"0500000US36059","Nassau County, New York","90504","4067","86015","4034","55","90","307","328","474","580","1425","686","1503","729","1083","612","855","448","670","404","302","203","540","411","0","201","1414","696","476","331","515","377","667","423","1213","641","1429","612","5520","1364","9452","1539","24677","2661","14282","2226","9783","1852","5988","1514","3385","1045","4489","1102"
"0500000US36071","Orange County, New York","42084","2508","39789","2582","112","175","0","201","44","73","429","345","127","160","113","185","245","192","22","36","216","168","623","581","589","462","265","326","463","307","876","593","1072","546","3541","1108","2475","719","8923","1919","5614","1389","10303","1585","1994","626","1002","500","667","587","74","88","2295","812"
"0500000US36087","Rockland County, New York","31025","1882","30068","1880","237","338","0","201","192","221","287","279","136","164","809","524","452","322","670","514","308","267","78","95","325","315","322","304","713","606","375","399","844","448","854","469","630","364","3692","1137","4685","1273","7119","1392","3341","1020","2261","929","1277","727","461","326","957","455"
"0500000US36069","Ontario County, New York","12010","1303","11701","1292","0","201","35","57","0","201","95","111","236","327","170","156","159","128","275","251","507","528","394","345","260","176","357","228","994","479","461","321","780","358","1239","475","991","521","1572","605","1513","699","1143","576","482","476","0","201","38","45","0","201","309","252"
"0500000US36015","Chemung County, New York","11498","1108","11185","1113","72","123","0","201","0","201","424","365","385","310","53","83","195","170","274","228","162","164","537","418","623","443","569","322","581","283","1017","569","794","608","1188","755","1545","613","1554","641","620","359","497","357","0","201","64","108","31","52","0","201","313","231"
"0500000US36045","Jefferson County, New York","20244","2060","19192","2012","0","201","148","184","263","216","385","270","328","231","233","160","156","127","295","209","292","190","786","528","754","457","573","360","570","356","769","558","956","494","2179","738","1554","595","4075","1124","2842","830","1357","549","481","283","179","179","17","31","0","201","1052","563"
"0500000US36029","Erie County, New York","139209","4548","133579","4738","336","315","185","125","635","456","2733","849","1792","842","2460","713","3293","1078","2725","894","3216","954","4383","1296","4745","1025","4901","1076","7543","1431","11153","2013","9934","1749","18924","2652","13714","1860","23429","2111","8981","1467","5250","1164","933","492","856","488","1252","547","206","197","5630","1226"
"0500000US36111","Ulster County, New York","22663","1654","21058","1775","0","201","0","201","0","201","146","138","252","189","168","173","120","132","86","150","92","112","416","273","360","314","479","341","385","394","666","598","276","185","1923","638","1900","681","4987","1115","3455","1037","3932","882","1082","484","327","301","6","11","0","201","1605","723"
"0500000US36119","Westchester County, New York","139048","4954","134199","4761","404","363","378","326","739","479","2110","710","1694","687","1936","797","2197","807","1732","735","1202","601","1186","467","1069","545","1587","929","1043","526","1478","613","1794","788","4360","1210","4045","1147","16604","2405","23161","2458","34894","3523","15161","2262","6924","1585","4389","851","4112","1145","4849","1331"
"0500000US36113","Warren County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36063","Niagara County, New York","27537","2003","26104","1892","342","327","394","412","263","331","1011","579","355","248","702","487","545","328","965","503","1172","472","1281","527","2013","680","2208","813","2644","919","2540","929","1446","843","2833","716","1985","604","2236","804","651","461","387","292","86","151","0","201","45","74","0","201","1433","779"
"0500000US36079","Putnam County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36051","Livingston County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36103","Suffolk County, New York","101823","5284","98546","5322","0","201","142","144","262","332","815","546","1527","779","1738","896","860","520","737","400","417","262","1349","884","1265","901","902","607","301","229","638","375","798","540","2166","986","1394","714","6446","1722","13744","2756","29736","2806","20500","2736","8866","1945","2874","1140","1069","689","3277","863"
"0500000US36011","Cayuga County, New York","8969","1184","8203","1148","0","201","0","201","0","201","75","99","127","114","140","162","188","252","449","437","493","302","126","132","422","271","584","430","351","265","781","432","1094","518","1101","556","318","363","1265","492","173","120","265","186","62","106","100","156","89","154","0","201","766","454"
"0500000US36047","Kings County, New York","673082","8194","658468","8631","574","472","2092","856","2424","955","18817","2293","12583","2181","10614","2117","7749","1658","8134","1566","6599","1606","8038","1624","6450","1526","8896","1783","6011","1244","7522","1399","6365","1421","22709","2351","28061","3086","92132","5238","100157","5056","148697","6328","73129","4455","39846","3359","23328","2151","17541","1866","14614","1945"
"0500000US36067","Onondaga County, New York","64426","3158","62120","3127","279","254","511","398","599","448","1638","636","1276","550","1181","466","931","499","1036","513","1241","561","1479","561","2210","806","2346","640","2733","699","4494","1022","4765","1128","9051","1627","6948","1393","11144","1621","3464","789","3180","971","1028","598","187","151","399","385","0","201","2306","686"
