"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M","B25063_025E","B25063_025M","B25063_026E","B25063_026M","B25063_027E","B25063_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 to $2,499","Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Estimate!!Total!!With cash rent!!$2,500 to $2,999","Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Estimate!!Total!!With cash rent!!$3,000 to $3,499","Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Estimate!!Total!!With cash rent!!$3,500 or more","Margin of Error!!Total!!With cash rent!!$3,500 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent"
"0500000US36001","Albany County, New York","53499","2814","52072","2847","58","96","0","200","57","98","1937","805","509","274","650","482","657","404","299","243","323","282","1706","759","1020","412","2393","1115","1062","496","1764","815","2914","1042","4385","1007","6417","1530","14015","1725","6819","1550","3378","917","1225","575","43","70","217","207","224","154","1427","806"
"0500000US36005","Bronx County, New York","407488","4512","398175","4582","1335","774","1471","755","2561","768","15271","2185","12621","1901","10206","1793","5922","1269","8899","1562","5455","1295","4746","1305","4663","1190","4938","1411","5601","1398","7544","1647","6898","1626","20333","2891","21883","2597","85739","4276","77921","4411","75382","4686","15475","2145","1863","695","654","355","794","370","9313","1496"
"0500000US36007","Broome County, New York","27465","1884","25770","1930","130","144","0","200","52","89","424","304","421","267","681","378","429","333","960","491","602","260","2580","1058","1812","598","1986","756","1607","602","1333","570","2344","811","2799","814","2337","698","2723","764","1091","440","766","446","382","149","0","200","261","192","50","81","1695","695"
"0500000US36009","Cattaraugus County, New York","9665","1062","9166","1030","41","66","0","200","242","199","281","279","548","366","399","267","331","145","473","311","727","300","771","312","563","302","1270","520","739","377","389","306","699","375","242","143","741","339","431","193","105","105","80","68","39","65","55","84","0","200","0","200","499","209"
"0500000US36011","Cayuga County, New York","8535","962","7947","940","44","74","0","200","49","87","231","220","135","126","177","147","234","308","128","145","416","424","599","285","701","433","198","139","503","390","774","402","324","243","1385","564","976","498","897","488","88","94","88","148","0","200","0","200","0","200","0","200","588","258"
"0500000US36013","Chautauqua County, New York","15226","1714","14406","1748","0","200","28","45","57","78","230","177","369","347","476","321","482","364","678","345","727","350","1905","646","861","402","1572","654","1144","401","962","421","989","404","1604","565","977","460","859","491","328","262","73","83","85","99","0","200","0","200","0","200","820","299"
"0500000US36015","Chemung County, New York","10648","1151","10491","1133","0","200","32","57","0","200","220","168","148","145","91","114","235","179","176","228","176","222","369","341","329","273","601","342","939","635","1203","499","541","353","923","421","2166","778","1665","585","332","236","299","191","46","76","0","200","0","200","0","200","157","156"
"0500000US36019","Clinton County, New York","11565","1320","10595","1256","0","200","0","200","17","29","106","159","548","411","78","90","331","337","287","230","285","303","576","518","557","457","701","552","1102","585","664","450","785","416","1067","555","1167","563","1346","607","610","366","329","283","0","200","0","200","39","71","0","200","970","479"
"0500000US36027","Dutchess County, New York","31552","2318","29768","2234","0","200","83","138","20","32","58","99","13","22","456","468","265","244","77","94","110","148","678","529","470","363","452","334","620","319","629","357","930","434","1919","719","2642","858","8175","1527","5547","1281","4816","1282","1249","451","458","358","101","120","0","200","1784","622"
"0500000US36029","Erie County, New York","138403","4693","132449","4789","669","433","235","223","813","531","1622","643","2823","894","3030","846","2528","848","3141","803","3516","969","6464","1618","7171","1601","7476","1530","9363","1558","9102","1513","11475","1736","16180","2120","14066","2181","18353","1988","5867","1363","5604","1312","1083","474","1011","537","515","406","342","302","5954","1415"
"0500000US36045","Jefferson County, New York","18318","1666","17135","1586","19","32","56","90","107","95","904","616","697","479","113","107","394","287","411","317","263","243","82","64","325","189","839","529","377","232","619","410","709","358","1492","592","1098","483","3429","964","2726","805","2161","677","273","171","41","70","0","200","0","200","1183","643"
