"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"0500000US36059","Nassau County, New York","517500","7447"
"0500000US36071","Orange County, New York","282200","6295"
"0500000US36087","Rockland County, New York","454500","9138"
"0500000US36069","Ontario County, New York","166200","10587"
"0500000US36015","Chemung County, New York","105300","9791"
"0500000US36045","Jefferson County, New York","145600","9201"
"0500000US36029","Erie County, New York","160200","2640"
"0500000US36111","Ulster County, New York","243700","12522"
"0500000US36119","Westchester County, New York","560800","11898"
"0500000US36113","Warren County, New York","195200","11577"
"0500000US36063","Niagara County, New York","132700","6643"
"0500000US36079","Putnam County, New York","354800","11268"
"0500000US36051","Livingston County, New York","134900","8310"
"0500000US36103","Suffolk County, New York","409400","4418"
"0500000US36011","Cayuga County, New York","137500","6028"
"0500000US36047","Kings County, New York","759400","15462"
"0500000US36067","Onondaga County, New York","148800","3513"
"0500000US36001","Albany County, New York","224300","4403"
"0500000US36053","Madison County, New York","133800","8159"
"0500000US36081","Queens County, New York","577400","9658"
"0500000US36117","Wayne County, New York","130600","6109"
"0500000US36005","Bronx County, New York","436100","13932"
"0500000US36089","St. Lawrence County, New York","98400","5984"
"0500000US36085","Richmond County, New York","556000","11735"
"0500000US36093","Schenectady County, New York","174200","6815"
"0500000US36009","Cattaraugus County, New York","86200","3941"
"0500000US36055","Monroe County, New York","151800","3234"
"0500000US36105","Sullivan County, New York","179900","20988"
"0500000US36007","Broome County, New York","119500","4499"
"0500000US36027","Dutchess County, New York","291600","5807"
"0500000US36101","Steuben County, New York","102600","4863"
"0500000US36083","Rensselaer County, New York","187100","8805"
"0500000US36013","Chautauqua County, New York","86700","3092"
"0500000US36019","Clinton County, New York","135500","9704"
"0500000US36061","New York County, New York","1013400","57841"
"0500000US36091","Saratoga County, New York","267200","7974"
"0500000US36109","Tompkins County, New York","215800","12709"
"0500000US36065","Oneida County, New York","135100","6205"
"0500000US36075","Oswego County, New York","111400","5605"
