"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"0500000US36001","Albany County, New York","221500","5181"
"0500000US36005","Bronx County, New York","378000","14033"
"0500000US36007","Broome County, New York","121600","4678"
"0500000US36009","Cattaraugus County, New York","83200","3428"
"0500000US36011","Cayuga County, New York","127000","7426"
"0500000US36013","Chautauqua County, New York","87000","3041"
"0500000US36015","Chemung County, New York","111600","5946"
"0500000US36019","Clinton County, New York","130500","7011"
"0500000US36027","Dutchess County, New York","279300","6241"
"0500000US36029","Erie County, New York","146400","2370"
"0500000US36045","Jefferson County, New York","149600","8960"
"0500000US36047","Kings County, New York","667000","10084"
"0500000US36051","Livingston County, New York","126800","7343"
"0500000US36053","Madison County, New York","142400","11312"
"0500000US36055","Monroe County, New York","143100","2187"
"0500000US36059","Nassau County, New York","471900","3886"
"0500000US36061","New York County, New York","1003400","44819"
"0500000US36063","Niagara County, New York","122900","6354"
"0500000US36065","Oneida County, New York","125000","4822"
"0500000US36067","Onondaga County, New York","139800","2873"
"0500000US36069","Ontario County, New York","154300","7614"
"0500000US36071","Orange County, New York","258800","5856"
"0500000US36075","Oswego County, New York","101100","5510"
"0500000US36079","Putnam County, New York","362300","11945"
"0500000US36081","Queens County, New York","508000","9433"
"0500000US36083","Rensselaer County, New York","184200","10111"
"0500000US36085","Richmond County, New York","477100","7609"
"0500000US36087","Rockland County, New York","431600","7501"
"0500000US36089","St. Lawrence County, New York","87700","3638"
"0500000US36091","Saratoga County, New York","250400","7177"
"0500000US36093","Schenectady County, New York","168100","5693"
"0500000US36101","Steuben County, New York","100700","5783"
"0500000US36103","Suffolk County, New York","386400","3339"
"0500000US36105","Sullivan County, New York","167200","11630"
"0500000US36109","Tompkins County, New York","201400","14219"
"0500000US36111","Ulster County, New York","224800","8298"
"0500000US36113","Warren County, New York","197300","12178"
"0500000US36117","Wayne County, New York","119400","6127"
"0500000US36119","Westchester County, New York","516500","15001"
