id,Geographic Area Name,total_population,total_white_population,pct-white,total_af_am_population,pct-af-am,total_am_ind_population,pct-am-ind,total_asian_population,pct-asian,total_nh_pi_population,pct-nh-pi,total_other_population,pct-other,total_multiple_races,pct-multiple_races,,total_percentage
0500000US36001,"Albany County, New York",309612,231896,74.89890573,39413,12.72980375,577,0.186362286,21130,6.824670878,0,0,4337,1.400785499,10976,3.545082232,,99.58561038
0500000US36005,"Bronx County, New York",1471160,328383,22.32136545,517433,35.17176922,12908,0.877402866,57247,3.891283069,1570,0.106718508,505698,34.37409935,29888,2.031594116,,98.77423258
0500000US36007,"Broome County, New York",193639,165668,85.5550793,11181,5.774146737,397,0.205020683,8895,4.59359943,90,0.04647824,1284,0.663089564,5271,2.722075615,,99.55948957
0500000US36009,"Cattaraugus County, New York",77348,71195,92.04504318,1099,1.420851218,2370,3.064074055,754,0.974815121,0,0,245,0.316750272,1555,2.01039458,,99.83192843
0500000US36011,"Cayuga County, New York",77603,70967,91.4487842,2879,3.709908122,7,0.00902027,410,0.52833009,0,0,561,0.722910197,2258,2.909681327,,99.3286342
0500000US36013,"Chautauqua County, New York",129046,118064,91.48985633,3079,2.385970894,127,0.098414519,800,0.619933977,0,0,3769,2.920663949,2785,2.158145158,,99.67298483
0500000US36015,"Chemung County, New York",85557,74963,87.61761165,6317,7.383381839,55,0.064284629,1677,1.960096778,0,0,698,0.815830382,1680,1.963603212,,99.80480849
0500000US36019,"Clinton County, New York",80980,73166,90.35070388,3749,4.629538158,204,0.251914053,1167,1.441096567,128,0.158063719,1415,1.747345023,1066,1.316374413,,99.89503581
0500000US36027,"Dutchess County, New York",295568,232355,78.61304336,30371,10.2754696,946,0.320061712,11881,4.019717967,48,0.016239918,10066,3.405646078,7764,2.626806691,,99.27698533
0500000US36029,"Erie County, New York",925528,716718,77.43882411,123182,13.30937584,4812,0.519919441,33896,3.662341928,234,0.025282866,20568,2.222299055,21908,2.367081277,,99.54512451
0500000US36045,"Jefferson County, New York",114187,98132,85.93973044,7565,6.625097428,664,0.581502273,1591,1.393328487,293,0.256596635,1453,1.2724741,4201,3.679052782,,99.74778215
0500000US36047,"Kings County, New York",2648771,1145345,43.2406199,850150,32.09601736,7169,0.270653824,324552,12.25292787,711,0.026842638,241515,9.118002274,62218,2.348938432,,99.35400229
0500000US36051,"Livingston County, New York",63799,58682,91.97949811,2474,3.877803727,20,0.031348454,316,0.495305569,0,0,815,1.27744949,1059,1.659900625,,99.32130598
0500000US36053,"Madison County, New York",70965,66940,94.32818995,988,1.392235609,596,0.839850631,785,1.106179102,0,0,587,0.827168322,946,1.333051504,,99.82667512
0500000US36055,"Monroe County, New York",747642,563542,75.37591521,114666,15.33701959,3537,0.473087387,29616,3.961254183,69,0.009229016,12669,1.694527595,20813,2.783818994,,99.63485197
0500000US36059,"Nassau County, New York",1369514,916648,66.93235703,161012,11.75687142,3453,0.252133239,134515,9.822097474,100,0.00730186,109696,8.009848749,31289,2.284679091,,99.06528885
0500000US36061,"New York County, New York",1664727,925117,55.57169434,247139,14.84561733,4847,0.291158851,207799,12.4824671,934,0.056105295,200412,12.03873067,52528,3.155352199,,98.44112578
0500000US36063,"Niagara County, New York",211328,185351,87.70773395,16271,7.699405663,2697,1.276215173,1850,0.875416414,0,0,1466,0.693708359,3540,1.675121139,,99.9276007
0500000US36065,"Oneida County, New York",231332,197001,85.15942455,14495,6.265886259,566,0.244669998,10563,4.566164646,0,0,4193,1.81254647,3935,1.70101845,,99.74971037
0500000US36067,"Onondaga County, New York",465398,369735,79.44490522,53626,11.52261075,1768,0.379889901,19377,4.163533148,114,0.024495163,3844,0.825959716,14969,3.216386834,,99.57778074
0500000US36069,"Ontario County, New York",109899,100665,91.59773974,2438,2.218400531,471,0.428575328,1497,1.362159801,0,0,2413,2.195652372,1424,1.295735175,,99.09826295
0500000US36071,"Orange County, New York",382226,283643,74.20819097,42896,11.22267978,1488,0.389298478,9694,2.536195863,396,0.103603627,31864,8.336429233,8440,2.20811771,,99.00451565
0500000US36075,"Oswego County, New York",118478,113066,95.43206334,1266,1.068552811,231,0.194972906,914,0.77145124,0,0,477,0.402606391,2370,2.000371377,,99.87001806
0500000US36079,"Putnam County, New York",99323,87125,87.71885666,2522,2.539190318,0,0,1919,1.932080183,38,0.038259014,4058,4.085659918,3047,3.067768795,,99.38181489
0500000US36081,"Queens County, New York",2358582,885312,37.53577361,427999,18.1464541,9181,0.389259309,617230,26.16953746,1286,0.054524286,339412,14.39051091,48011,2.035587484,,98.72164716
0500000US36083,"Rensselaer County, New York",159722,136267,85.31511,9860,6.17322598,85,0.053217465,4503,2.819273488,112,0.070121837,2222,1.391167153,6448,4.037014312,,99.85913024
0500000US36085,"Richmond County, New York",479458,351632,73.33947916,51411,10.72273275,1019,0.21253165,45761,9.544318793,0,0,20230,4.21934768,6792,1.416599577,,99.45500962
0500000US36087,"Rockland County, New York",328868,240807,73.22299524,40540,12.32713429,581,0.176666626,20214,6.146539037,0,0,17857,5.429838111,5968,1.814709853,,99.11788316
0500000US36089,"St. Lawrence County, New York",109623,101455,92.54900888,3441,3.138939821,462,0.421444405,1272,1.16034044,113,0.103080558,1579,1.440391159,1081,0.98610693,,99.79931219
0500000US36091,"Saratoga County, New York",229869,212327,92.36869695,4587,1.995484385,723,0.31452697,6840,2.975607846,0,0,919,0.399792926,3848,1.673996929,,99.72810601
0500000US36093,"Schenectady County, New York",155565,121077,77.83048886,17374,11.16832192,306,0.196702343,7695,4.946485392,0,0,4130,2.654838813,4478,2.878539517,,99.67537685
0500000US36101,"Steuben County, New York",96281,91448,94.98031803,1771,1.839407567,138,0.14333046,1377,1.430188718,0,0,303,0.314703836,1177,1.222463414,,99.93041202
0500000US36103,"Suffolk County, New York",1492953,1205031,80.71459718,124579,8.344468982,3142,0.210455386,59720,4.000125925,77,0.005157564,67447,4.517690778,24534,1.643320319,,99.43581613
0500000US36105,"Sullivan County, New York",75485,59475,78.79048818,7564,10.02053388,166,0.219911241,1323,1.752666093,0,0,4800,6.358879248,2112,2.797906869,,99.94038551
0500000US36109,"Tompkins County, New York",104802,84625,80.74750482,3779,3.605847217,38,0.03625885,11486,10.95971451,104,0.099234747,864,0.824411748,3668,3.499933207,,99.7729051
0500000US36111,"Ulster County, New York",179417,150195,83.71280313,10147,5.655539888,617,0.343891604,4370,2.435666631,0,0,6207,3.459538394,6816,3.798971112,,99.40641076
0500000US36113,"Warren County, New York",64532,61580,95.42552532,898,1.391557677,66,0.10227484,564,0.873985,0,0,146,0.226244344,1152,1.78516085,,99.80474803
0500000US36117,"Wayne County, New York",90670,84050,92.69879784,2736,3.01753612,182,0.200727914,567,0.625344656,0,0,1002,1.10510643,1577,1.739274291,,99.38678725
0500000US36119,"Westchester County, New York",980244,617675,63.01237243,144432,14.73429065,4863,0.496100971,61126,6.235794353,555,0.056618556,124352,12.68582108,20530,2.094376502,,99.31537454
0400000US36,New York,19849399,12523357,63.09186994,3136984,15.80392434,76069,0.383230747,1734663,8.739121018,7397,0.037265612,1768858,8.911393237,449562,2.264864543,,99.23166943
