"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US36001","Albany County, New York","308846","*****","230831","2262","38386","2112","788","467","21011","917","0","192","5538","1504","12292","2414","1706","991","10586","2291"
"0500000US36005","Bronx County, New York","1455720","*****","312877","12856","495031","8546","8777","2234","51958","2912","372","436","528863","14923","57842","6806","23737","4683","34105","5554"
"0500000US36007","Broome County, New York","195334","*****","166572","1038","12650","1572","13","27","7006","1214","21","38","1866","914","7206","1595","810","740","6396","1585"
"0500000US36009","Cattaraugus County, New York","77677","*****","71286","276","1148","321","2615","308","509","252","0","192","376","224","1743","491","621","361","1122","379"
"0500000US36011","Cayuga County, New York","77861","*****","71746","472","3240","544","139","115","400","408","0","192","554","367","1782","649","171","255","1611","571"
"0500000US36013","Chautauqua County, New York","129504","*****","120008","1187","3784","474","326","140","760","336","64","97","2035","1017","2527","869","493","664","2034","610"
"0500000US36015","Chemung County, New York","86322","*****","75851","561","4798","870","171","223","1588","76","22","47","770","478","3122","970","110","160","3012","970"
"0500000US36019","Clinton County, New York","81073","*****","73092","675","3875","305","114","139","990","346","0","192","1811","728","1191","534","117","168","1074","475"
"0500000US36027","Dutchess County, New York","294473","*****","232515","3106","31588","2108","989","440","10743","767","422","493","9189","2960","9027","2426","1490","717","7537","2373"
"0500000US36029","Erie County, New York","921046","*****","718970","3294","122691","2436","4730","1272","34132","1166","405","162","18740","3307","21378","3354","3686","1667","17692","2714"
"0500000US36045","Jefferson County, New York","114006","*****","98583","1004","5871","1264","1667","1090","1998","456","41","57","1425","603","4421","1155","629","575","3792","1023"
"0500000US36047","Kings County, New York","2629150","*****","1124155","10525","861749","7591","8714","2639","315850","4323","1402","596","237591","11781","79689","6475","13817","2845","65872","5955"
