"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"0500000US36051","Livingston County, New York","64257","*****","59522","542","1985","498","352","267","699","309","76","141","800","531","823","392","9","18","814","394"
"0500000US36053","Madison County, New York","71329","*****","67495","483","1272","475","203","123","726","255","152","251","200","172","1281","613","409","463","872","344"
"0500000US36055","Monroe County, New York","747727","*****","570709","2932","113806","2723","2763","877","26420","1797","309","323","12100","2510","21620","3250","3305","1578","18315","3273"
"0500000US36059","Nassau County, New York","1361500","*****","926594","9490","158561","3628","3420","1385","127934","2176","285","214","102363","8812","42343","6245","11992","2910","30351","4920"
"0500000US36061","New York County, New York","1643734","*****","931953","10526","246095","6743","4555","1574","204434","3603","1205","876","179384","11666","76108","9660","21190","6206","54918","7299"
"0500000US36063","Niagara County, New York","211758","*****","185171","1241","13450","1266","2246","418","2082","413","141","183","1822","1006","6846","1571","533","446","6313","1517"
"0500000US36065","Oneida County, New York","231190","*****","197816","1290","13313","1634","400","364","9824","545","53","93","2474","1034","7310","1636","519","400","6791","1651"
"0500000US36067","Onondaga County, New York","466194","*****","370920","1646","52781","1782","1769","655","17413","1087","81","97","6250","1690","16980","2450","587","295","16393","2427"
"0500000US36069","Ontario County, New York","109828","*****","101231","693","3180","801","584","670","1345","356","114","172","1649","776","1725","693","330","301","1395","636"
"0500000US36071","Orange County, New York","379210","*****","278706","4467","38853","2721","1877","610","10686","962","149","247","32984","4846","15955","3438","3331","1332","12624","2969"
"0500000US36075","Oswego County, New York","118987","*****","113860","511","1795","553","184","133","730","215","75","121","167","155","2176","459","20","33","2156","457"
"0500000US36079","Putnam County, New York","98900","*****","85102","1797","1490","643","859","626","2214","423","56","86","7046","1878","2133","829","357","300","1776","771"
"0500000US36081","Queens County, New York","2333054","*****","905860","12959","421307","6524","9509","2054","592922","6301","1240","696","318657","15669","83559","7695","29285","4754","54274","6079"
"0500000US36083","Rensselaer County, New York","160070","*****","137956","1186","9755","1225","799","932","4019","750","0","192","1866","1064","5675","1212","265","235","5410","1192"
"0500000US36085","Richmond County, New York","476015","*****","352530","5099","48920","2200","251","250","40747","1571","721","927","22464","5141","10382","2271","2183","872","8199","2208"
"0500000US36087","Rockland County, New York","326780","*****","225848","4175","40350","1940","592","372","19686","1117","49","87","33989","5006","6266","1613","1087","668","5179","1545"
"0500000US36089","St. Lawrence County, New York","110038","*****","102840","543","2925","352","437","289","1489","264","11","17","472","214","1864","625","288","243","1576","599"
"0500000US36091","Saratoga County, New York","227053","*****","211505","886","2719","1370","484","351","6797","434","91","163","907","681","4550","1486","54","80","4496","1447"
"0500000US36093","Schenectady County, New York","154553","*****","119476","2091","14509","2171","258","305","6739","580","219","335","7110","2756","6242","1794","1149","880","5093","1662"
"0500000US36101","Steuben County, New York","96940","*****","91500","352","1835","448","120","134","1298","369","0","192","524","381","1663","476","288","284","1375","442"
"0500000US36103","Suffolk County, New York","1492583","*****","1195796","11756","111177","2689","3361","1177","58726","2528","833","555","93130","11861","29560","3824","8108","2110","21452","3380"
"0500000US36105","Sullivan County, New York","74801","*****","60496","2035","5662","967","52","73","1227","391","0","192","4373","2116","2991","1337","502","626","2489","1071"
"0500000US36109","Tompkins County, New York","104871","*****","83423","799","4698","454","268","214","10625","898","0","192","1656","639","4201","1123","223","284","3978","1046"
"0500000US36111","Ulster County, New York","179225","*****","152042","1754","10859","1929","151","119","3969","546","21","43","5275","1537","6908","1968","701","613","6207","1921"
"0500000US36113","Warren County, New York","64567","*****","62127","188","690","246","85","133","603","208","82","132","146","185","834","318","0","192","834","318"
"0500000US36117","Wayne County, New York","90798","*****","84497","921","2458","388","59","77","775","232","0","192","1092","943","1917","495","48","92","1869","495"
"0500000US36119","Westchester County, New York","974542","*****","628687","8448","144510","3610","2745","832","57962","2210","192","142","107885","8254","32561","5274","12405","3712","20156","3585"
"0400000US36","New York","19745289","*****","12530463","29879","3080534","18978","73052","6204","1668036","11780","9236","2216","1767107","34876","616861","22455","148081","12174","468780","19051"
