"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)"
"0500000US36001","Albany County, New York","57042","2650"
"0500000US36005","Bronx County, New York","35176","1392"
"0500000US36007","Broome County, New York","46152","2449"
"0500000US36009","Cattaraugus County, New York","40016","2369"
"0500000US36011","Cayuga County, New York","53146","3745"
"0500000US36013","Chautauqua County, New York","44460","2933"
"0500000US36015","Chemung County, New York","53119","3960"
"0500000US36019","Clinton County, New York","45377","3652"
"0500000US36027","Dutchess County, New York","71864","3327"
"0500000US36029","Erie County, New York","52214","1164"
"0500000US36045","Jefferson County, New York","51107","2803"
"0500000US36047","Kings County, New York","51141","566"
"0500000US36051","Livingston County, New York","53441","5497"
"0500000US36053","Madison County, New York","60286","3760"
"0500000US36055","Monroe County, New York","54077","1923"
"0500000US36059","Nassau County, New York","101830","1439"
"0500000US36061","New York County, New York","75575","2566"
"0500000US36063","Niagara County, New York","48160","3623"
"0500000US36065","Oneida County, New York","48023","3974"
"0500000US36067","Onondaga County, New York","57365","1560"
"0500000US36069","Ontario County, New York","57711","4464"
"0500000US36071","Orange County, New York","73031","4374"
"0500000US36075","Oswego County, New York","49767","2541"
"0500000US36079","Putnam County, New York","90538","6426"
"0500000US36081","Queens County, New York","60422","723"
"0500000US36083","Rensselaer County, New York","60810","3046"
"0500000US36085","Richmond County, New York","71622","2532"
"0500000US36087","Rockland County, New York","85392","3580"
"0500000US36089","St. Lawrence County, New York","42144","3026"
"0500000US36091","Saratoga County, New York","75761","4256"
"0500000US36093","Schenectady County, New York","61108","3920"
"0500000US36101","Steuben County, New York","47146","3242"
"0500000US36103","Suffolk County, New York","88340","2415"
"0500000US36105","Sullivan County, New York","51761","6091"
"0500000US36109","Tompkins County, New York","58084","4517"
"0500000US36111","Ulster County, New York","59758","3903"
"0500000US36113","Warren County, New York","57541","6893"
"0500000US36117","Wayne County, New York","50561","2727"
"0500000US36119","Westchester County, New York","86108","3303"
