"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)"
"0500000US36001","Albany County, New York","61754","2996"
"0500000US36005","Bronx County, New York","37525","1266"
"0500000US36007","Broome County, New York","50463","2339"
"0500000US36009","Cattaraugus County, New York","46842","3719"
"0500000US36011","Cayuga County, New York","54995","4267"
"0500000US36013","Chautauqua County, New York","42204","2801"
"0500000US36015","Chemung County, New York","51269","2894"
"0500000US36019","Clinton County, New York","55316","4840"
"0500000US36027","Dutchess County, New York","74115","3444"
"0500000US36029","Erie County, New York","54246","1403"
"0500000US36045","Jefferson County, New York","45624","3116"
"0500000US36047","Kings County, New York","55150","1015"
"0500000US36051","Livingston County, New York","53121","4382"
"0500000US36053","Madison County, New York","60630","5537"
"0500000US36055","Monroe County, New York","54492","1629"
"0500000US36059","Nassau County, New York","105870","1944"
"0500000US36061","New York County, New York","77559","2469"
"0500000US36063","Niagara County, New York","50233","2552"
"0500000US36065","Oneida County, New York","52996","2024"
"0500000US36067","Onondaga County, New York","56991","1826"
"0500000US36069","Ontario County, New York","57448","4119"
"0500000US36071","Orange County, New York","73025","4182"
"0500000US36075","Oswego County, New York","53562","3096"
"0500000US36079","Putnam County, New York","96992","7918"
"0500000US36081","Queens County, New York","62207","1151"
"0500000US36083","Rensselaer County, New York","65965","5829"
"0500000US36085","Richmond County, New York","77197","4465"
"0500000US36087","Rockland County, New York","85515","5870"
"0500000US36089","St. Lawrence County, New York","51592","1922"
"0500000US36091","Saratoga County, New York","76097","3341"
"0500000US36093","Schenectady County, New York","58331","4940"
"0500000US36101","Steuben County, New York","50575","2803"
"0500000US36103","Suffolk County, New York","92933","2401"
"0500000US36105","Sullivan County, New York","50652","12310"
"0500000US36109","Tompkins County, New York","56349","3335"
"0500000US36111","Ulster County, New York","62790","3777"
"0500000US36113","Warren County, New York","58061","6735"
"0500000US36117","Wayne County, New York","59538","4525"
"0500000US36119","Westchester County, New York","89709","3205"
