"GEO_ID","NAME","B25071_001E","B25071_001M"
"id","Geographic Area Name","Estimate!!Median gross rent as a percentage of household income","Margin of Error!!Median gross rent as a percentage of household income"
"0500000US36059","Nassau County, New York","33.1","2.0"
"0500000US36071","Orange County, New York","35.2","2.9"
"0500000US36087","Rockland County, New York","35.5","3.4"
"0500000US36069","Ontario County, New York","27.3","2.8"
"0500000US36015","Chemung County, New York","31.8","2.6"
"0500000US36045","Jefferson County, New York","27.8","1.4"
"0500000US36029","Erie County, New York","29.4","1.2"
"0500000US36111","Ulster County, New York","32.0","2.2"
"0500000US36119","Westchester County, New York","32.4","1.6"
"0500000US36113","Warren County, New York","29.2","3.1"
"0500000US36063","Niagara County, New York","27.5","2.0"
"0500000US36079","Putnam County, New York","30.9","4.3"
"0500000US36051","Livingston County, New York","34.2","9.7"
"0500000US36103","Suffolk County, New York","33.8","2.0"
"0500000US36011","Cayuga County, New York","26.5","4.8"
"0500000US36047","Kings County, New York","31.7","0.5"
"0500000US36067","Onondaga County, New York","27.9","1.0"
"0500000US36001","Albany County, New York","29.5","1.8"
"0500000US36053","Madison County, New York","24.4","3.1"
"0500000US36081","Queens County, New York","32.1","0.8"
"0500000US36117","Wayne County, New York","27.5","3.0"
"0500000US36005","Bronx County, New York","35.8","1.0"
"0500000US36089","St. Lawrence County, New York","26.1","2.6"
"0500000US36085","Richmond County, New York","29.9","2.1"
"0500000US36093","Schenectady County, New York","28.5","1.9"
"0500000US36009","Cattaraugus County, New York","26.8","2.3"
"0500000US36055","Monroe County, New York","32.2","1.2"
"0500000US36105","Sullivan County, New York","29.9","3.1"
"0500000US36007","Broome County, New York","32.1","3.1"
"0500000US36027","Dutchess County, New York","33.4","2.2"
"0500000US36101","Steuben County, New York","25.7","2.2"
"0500000US36083","Rensselaer County, New York","26.5","2.1"
"0500000US36013","Chautauqua County, New York","32.4","2.8"
"0500000US36019","Clinton County, New York","26.3","5.3"
"0500000US36061","New York County, New York","27.7","0.6"
"0500000US36091","Saratoga County, New York","25.0","2.3"
"0500000US36109","Tompkins County, New York","37.0","4.0"
"0500000US36065","Oneida County, New York","28.9","2.9"
"0500000US36075","Oswego County, New York","35.5","4.1"
