GEOID,year,name,parent_location,population,poverty_rate,pct_owner_occupied,pct_renter_occupied,median_rent,median_income,median_property_value,pct_rent_burden,pct_white_population,pct_african_american,pct_american_indian,pct_asian,pct_native_hawaiian_and_other_pacific_islander,pct_other,pct_multiple_races
36001,2016,Albany County,New York,308846,10.7,53.28399029,43.78707829,915,58758,216319,28.1,74.74,12.43,0.26,6.8,0,1.79,3.98
36003,2016,Allegany County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36005,2016,Bronx County,New York,1455720,27.4,18.587134,80.24082622,1117,36259,363967,34,21.49,34.01,0.6,3.57,0.03,36.33,3.97
36007,2016,Broome County,New York,195334,14.2,63.46513242,33.78897907,708,48124,116922,30,85.28,6.48,0.01,3.59,0.01,0.96,3.69
36009,2016,Cattaraugus County,New York,77677,12.1,72.05998943,24.6002907,585,43123,79772,24.2,91.77,1.48,3.37,0.66,0,0.48,2.24
36011,2016,Cayuga County,New York,77861,9.3,69.56725616,26.77518757,696,50728,119574,22.5,92.15,4.16,0.18,0.51,0,0.71,2.29
36013,2016,Chautauqua County,New York,129504,16.6,67.80629637,29.70723882,584,39403,83959,27.4,92.67,2.92,0.25,0.59,0.05,1.57,1.95
36015,2016,Chemung County,New York,86322,10.5,63.59560093,32.45372194,730,48375,105654,27.8,87.87,5.56,0.2,1.84,0.03,0.89,3.62
36017,2016,Chenango County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36019,2016,Clinton County,New York,81073,10.3,68.35593624,26.8719622,732,50476,123489,25.2,90.16,4.78,0.14,1.22,0,2.23,1.47
36019,2016,Clinton County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36021,2016,Columbia County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36023,2016,Cortland County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36025,2016,Delaware County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36027,2016,Dutchess County,New York,294473,7.8,66.89788127,30.83501862,1098,70671,273059,30.4,78.96,10.73,0.34,3.65,0.14,3.12,3.07
36029,2016,Erie County,New York,921046,13.2,64.32350999,34.30947916,751,52843,144030,28.3,78.06,13.32,0.51,3.71,0.04,2.03,2.32
36029,2016,Erie County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36031,2016,Essex County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36033,2016,Franklin County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36035,2016,Fulton County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36037,2016,Genesee County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36039,2016,Greene County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36041,2016,Hamilton County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36043,2016,Herkimer County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36045,2016,Jefferson County,New York,114006,13,57.42241401,39.23580622,870,42508,140640,28.3,86.47,5.15,1.46,1.75,0.04,1.25,3.88
36047,2016,Kings County,New York,2629150,19.9,28.97795724,70.12302416,1332,54135,656916,31.8,42.76,32.78,0.33,12.01,0.05,9.04,3.03
36049,2016,Lewis County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36051,2016,Livingston County,New York,64257,11.7,72.68693723,21.81913089,628,48739,119457,19.5,92.63,3.09,0.55,1.09,0.12,1.25,1.28
36053,2016,Madison County,New York,71329,5.7,78.4389681,18.1735762,570,55093,131088,20.8,94.62,1.78,0.28,1.02,0.21,0.28,1.8
36055,2016,Monroe County,New York,747727,13.8,62.46341241,36.23006884,841,52863,140913,30.7,76.33,15.22,0.37,3.53,0.04,1.62,2.89
36057,2016,Montgomery County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
