,Unnamed: 0,Client: Create Date/Time,Client's City,zipcode,county,Client's Location,Presenting Needs: Taxonomy Code,category_code,category_sub,latitude,longitude
0,0,02/02/2016 14:42:03.8354 MST,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
1,5,02/01/2016 09:16:43.444302 MST,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
2,12,02/03/2016 08:44:27.753921 MST,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
3,87,06/23/2016 09:30:10.553759 MDT,ALBANY,12209,ALBANY,Albany,DD-1500.9650,D,DD,42.640813,-73.7856
4,88,06/23/2016 09:30:10.553759 MDT,ALBANY,12209,ALBANY,Albany,DD-1500.9650,D,DD,42.640813,-73.7856
5,89,06/23/2016 09:30:10.553759 MDT,ALBANY,12209,ALBANY,Albany,BV-8900.9120,B,BV,42.640813,-73.7856
6,90,06/23/2016 09:30:10.553759 MDT,ALBANY,12209,ALBANY,Albany,BV-8900.9120,B,BV,42.640813,-73.7856
7,123,02/25/2016 11:50:48.47779 MST,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
8,139,03/01/2016 08:57:41.853116 MST,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
9,149,03/01/2016 13:53:21.997419 MST,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
10,184,03/15/2016 08:04:25.493708 MDT,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
11,190,03/15/2016 14:04:25.580739 MDT,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
12,191,03/15/2016 13:55:38.651845 MDT,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
13,195,03/22/2016 09:34:30.076947 MDT,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
14,198,03/23/2016 08:13:24.687963 MDT,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
15,199,03/28/2016 09:19:01.964354 MDT,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
16,207,04/11/2016 14:40:38.368852 MDT,ALBANY,12209,ALBANY,Albany,FT-4500.4600,F,FT,42.640813,-73.7856
