,Client: Create Date/Time,Client's City,Client's Zip,county,Client's Location,Presenting Needs: Taxonomy Code,category_code,category_sub,latitude,longitude
0,12/27/2017 09:02:27.151999 MST,ALTAMONT,12009,ALBANY,Albany,BV-8900.9300-300,B,BV,42.6525793,-73.7562317
1,12/26/2017 17:01:05.044047 MST,ALBANY,12209,ALBANY,Albany,FP-4500,F,FP,42.6525793,-73.7562317
2,12/26/2017 12:31:46.099398 MST,RAVENA,12143,ALBANY,Albany,HH-0500.2500-250,H,HH,42.6525793,-73.7562317
3,12/22/2017 11:47:03.605583 MST,ALBANY,12208,ALBANY,Albany,,,,42.6525793,-73.7562317
4,12/22/2017 08:15:07.671706 MST,ALBANY,12209,ALBANY,Albany,,,,42.6525793,-73.7562317
5,12/21/2017 13:29:40.80848 MST,ALBANY,12210,ALBANY,Albany,NS-1800.8000,N,NS,42.6525793,-73.7562317
6,12/21/2017 09:40:42.539553 MST,ALBANY,12205,ALBANY,Albany,,,,42.6525793,-73.7562317
7,12/21/2017 09:21:36.562664 MST,ALBANY,12209,ALBANY,Albany,,,,42.6525793,-73.7562317
8,12/20/2017 19:47:48.912876 MST,ALBANY,12208,ALBANY,Albany,,,,42.6525793,-73.7562317
9,12/19/2017 16:39:39.505041 MST,ALBANY,12206,ALBANY,Albany,BH-0500,B,BH,42.6525793,-73.7562317
10,12/19/2017 11:50:20.094589 MST,ALBANY,12207,ALBANY,Albany,,,,42.6525793,-73.7562317
11,12/19/2017 09:32:49.542 MST,ALBANY,12206,ALBANY,Albany,,,,42.6525793,-73.7562317
12,12/19/2017 08:28:46.989208 MST,ALBANY,12202,ALBANY,Albany,,,,42.6525793,-73.7562317
13,12/18/2017 13:44:52.788225 MST,ALBANY,12209,ALBANY,Albany,BT-4500.4500-700,B,BT,42.6525793,-73.7562317
14,12/18/2017 13:44:52.788225 MST,ALBANY,12209,ALBANY,Albany,BT-4500.4500-700,B,BT,42.6525793,-73.7562317
15,12/18/2017 13:44:52.788225 MST,ALBANY,12209,ALBANY,Albany,BH-3900.3100,B,BH,42.6525793,-73.7562317
16,12/18/2017 13:44:52.788225 MST,ALBANY,12209,ALBANY,Albany,BH-3900.3100,B,BH,42.6525793,-73.7562317
