,Unnamed: 0,Client: Create Date/Time,Client's_City,zipcode,county,Client's Location,PresentingNeeds_TaxonomyCode,category_code,category_sub,latitude,longitude
48,1571,01/28/2015 12:18:28.709633 MST,ALBANY,12204,ALBANY,Albany,DT-8800,D,DT,42.683727,-73.73329
49,1603,02/05/2015 08:24:51.540062 MST,ALBANY,12204,ALBANY,Albany,DT-8800,D,DT,42.683727,-73.73329
50,1732,03/04/2015 11:07:02.665068 MST,ALBANY,12204,ALBANY,Albany,BH-1850,B,BH,42.683727,-73.73329
51,1733,03/04/2015 11:07:02.665068 MST,ALBANY,12204,ALBANY,Albany,BH-1850,B,BH,42.683727,-73.73329
52,1734,03/04/2015 11:07:02.665068 MST,ALBANY,12204,ALBANY,Albany,BH-3900.3100,B,BH,42.683727,-73.73329
53,1735,03/04/2015 11:07:02.665068 MST,ALBANY,12204,ALBANY,Albany,BH-3900.3100,D,DT,42.683727,-73.73329
54,1744,03/06/2015 09:23:07.140483 MST,ALBANY,12204,ALBANY,Albany,BH-3000.3550,B,BH,42.683727,-73.73329
55,1745,03/06/2015 09:23:07.140483 MST,ALBANY,12204,ALBANY,Albany,BH-3000.3550,B,BH,42.683727,-73.73329
56,1746,03/06/2015 09:23:07.140483 MST,ALBANY,12204,ALBANY,Albany,BH-3000.3550,D,DT,42.683727,-73.73329
57,1816,03/17/2015 11:50:51.482104 MDT,ALBANY,12204,ALBANY,Albany,FT-1000.9000,D,DT,42.683727,-73.73329
58,1817,03/17/2015 15:39:51.371443 MDT,ALBANY,12204,ALBANY,Albany,DT-8800,R,RP,42.683727,-73.73329
59,1827,03/20/2015 07:39:16.807942 MDT,ALBANY,12204,ALBANY,Albany,DT-8800,D,DT,42.683727,-73.73329
60,1830,03/20/2015 14:07:25.288405 MDT,ALBANY,12204,ALBANY,Albany,TC-5500.8000,T,TC,42.683727,-73.73329
61,1831,03/20/2015 14:07:25.288405 MDT,ALBANY,12204,ALBANY,Albany,TC-5500.8000,N,ND,42.683727,-73.73329
62,1832,03/20/2015 14:07:25.288405 MDT,ALBANY,12204,ALBANY,Albany,ND-6500.8000,N,ND,42.683727,-73.73329
63,1833,03/20/2015 14:07:25.288405 MDT,ALBANY,12204,ALBANY,Albany,ND-6500.8000,,,42.683727,-73.73329
64,2055,04/23/2015 10:11:16.321673 MDT,ALBANY,12204,ALBANY,Albany,PH-3300.3000,P,PH,42.683727,-73.73329
65,2056,04/23/2015 10:11:16.321673 MDT,ALBANY,12204,ALBANY,Albany,PH-3300.3000,P,PH,42.683727,-73.73329
66,2057,04/23/2015 10:11:16.321673 MDT,ALBANY,12204,ALBANY,Albany,PH-3300.3000,P,PH,42.683727,-73.73329
67,2058,04/23/2015 10:11:16.321673 MDT,ALBANY,12204,ALBANY,Albany,PH-3300.3000,P,PH,42.683727,-73.73329
68,2059,04/23/2015 10:11:16.321673 MDT,ALBANY,12204,ALBANY,Albany,PH-3300,P,PH,42.683727,-73.73329
69,2060,04/23/2015 10:11:16.321673 MDT,ALBANY,12204,ALBANY,Albany,PH-3300,P,PH,42.683727,-73.73329
