GEOID,year,name,parent_location,population,poverty_rate,pct_owner_occupied,pct_renter_occupied,median_rent,median_income,median_property_value,pct_rent_burden,pct_white_population,pct_african_american,pct_american_indian,pct_asian,pct_native_hawaiian_and_other_pacific_islander,pct_other,pct_multiple_races
36037,2017,Genesee County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36039,2017,Greene County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36041,2017,Hamilton County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36043,2017,Herkimer County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36045,2017,Jefferson County,New York,114187,12.8,55.4279251,41.85497047,929,44550,138174,30.1,85.94,6.63,0.58,1.39,0.26,1.27,3.68
36047,2017,Kings County,New York,2648771,19.1,29.96791079,69.22034062,1354,55791,691091,32.2,43.24,32.1,0.27,12.25,0.03,9.12,2.35
36049,2017,Lewis County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36051,2017,Livingston County,New York,63799,8.1,75.88429892,20.34947833,719,52486,125129,30.4,91.98,3.88,0.03,0.5,0,1.28,1.66
36053,2017,Madison County,New York,70965,7.3,77.62584951,19.02494608,702,50762,134284,23.4,94.33,1.39,0.84,1.11,0,0.83,1.33
36055,2017,Monroe County,New York,747642,13.9,62.46051281,36.11057083,889,55762,145059,30.7,75.38,15.34,0.47,3.96,0.01,1.69,2.78
36057,2017,Montgomery County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36059,2017,Nassau County,New York,1369514,5.4,79.64040167,19.10140952,1650,105409,485800,30.9,66.93,11.76,0.25,9.82,0.01,8.01,2.28
36061,2017,New York County,New York,1664727,15.2,23.82464847,74.68406588,1560,81551,941000,26.7,55.57,14.85,0.29,12.48,0.06,12.04,3.16
36063,2017,Niagara County,New York,211328,10.4,70.26097954,26.74292941,654,51963,119334,25.9,87.71,7.7,1.28,0.88,0,0.69,1.68
36065,2017,Oneida County,New York,231332,14.1,66.5339245,31.38233217,696,51464,119253,26.8,85.16,6.27,0.24,4.57,0,1.81,1.7
36067,2017,Onondaga County,New York,465398,12.7,63.42391631,34.67706269,815,55711,143391,27.8,79.44,11.52,0.38,4.16,0.02,0.83,3.22
36069,2017,Ontario County,New York,109899,6.8,73.1138993,23.64812961,772,62065,159214,26.1,91.6,2.22,0.43,1.36,0,2.2,1.3
36071,2017,Orange County,New York,382226,8.3,69.17527752,28.47100035,1194,75207,262110,31.4,74.21,11.22,0.39,2.54,0.1,8.34,2.21
36073,2017,Orleans County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36075,2017,Oswego County,New York,118478,13.5,70.69764304,25.9041022,720,49600,95458,24.7,95.43,1.07,0.19,0.77,0,0.4,2
36077,2017,Otsego County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36079,2017,Putnam County,New York,99323,3.1,82.02022015,13.4452022,1175,90805,346341,24.6,87.72,2.54,0,1.93,0.04,4.09,3.07
36081,2017,Queens County,New York,2358582,11.5,43.80107521,55.13262046,1484,63182,537706,31.6,37.54,18.15,0.39,26.17,0.05,14.39,2.04
36083,2017,Rensselaer County,New York,159722,9.6,61.64940828,34.94822485,867,60312,190431,23.9,85.32,6.17,0.05,2.82,0.07,1.39,4.04
36085,2017,Richmond County,New York,479458,10.5,68.58684877,28.92817369,1213,76413,488021,31,73.34,10.72,0.21,9.54,0,4.22,1.42
36087,2017,Rockland County,New York,328868,11.5,66.16350291,30.6859023,1392,84641,430030,32.4,73.22,12.33,0.18,6.15,0,5.43,1.81
36089,2017,St. Lawrence County,New York,109623,16.2,73.4954346,22.72108157,682,47262,89779,24.3,92.55,3.14,0.42,1.16,0.1,1.44,0.99
36091,2017,Saratoga County,New York,229869,5.2,69.78736343,27.12584142,987,79290,249317,22.5,92.37,2,0.31,2.98,0,0.4,1.67
36093,2017,Schenectady County,New York,155565,10,68.97221807,28.54641355,842,59318,157460,26,77.83,11.17,0.2,4.95,0,2.65,2.88
36095,2017,Schoharie County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36097,2017,Schuyler County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36099,2017,Seneca County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36101,2017,Steuben County,New York,96281,10.5,75.55428603,22.19048396,603,47956,90435,26.4,94.98,1.84,0.14,1.43,0,0.31,1.22
36103,2017,Suffolk County,New York,1492953,6.2,80.34917083,18.27416921,1663,92200,390947,32,80.71,8.34,0.21,4,0.01,4.52,1.64
36105,2017,Sullivan County,New York,75485,9.7,64.68338115,30.5642177,762,48147,161508,25,78.79,10.02,0.22,1.75,0,6.36,2.8
36107,2017,Tioga County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36109,2017,Tompkins County,New York,104802,17.1,53.75125299,41.85879148,1035,50369,192512,32.8,80.75,3.61,0.04,10.96,0.1,0.82,3.5
36111,2017,Ulster County,New York,179417,11.4,69.06269696,28.00804346,1028,59714,222967,28.2,83.71,5.66,0.34,2.44,0,3.46,3.8
36113,2017,Warren County,New York,64532,5,71.64887758,23.74368519,805,55782,184769,28.7,95.43,1.39,0.1,0.87,0,0.23,1.79
36115,2017,Washington County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36117,2017,Wayne County,New York,90670,10.7,71.18553961,23.07842973,606,48193,117000,28.5,92.7,3.02,0.2,0.63,0,1.11,1.74
36119,2017,Westchester County,New York,980244,7.6,59.96351688,38.50551563,1477,87539,537129,32.7,63.01,14.73,0.5,6.24,0.06,12.69,2.09
36121,2017,Wyoming County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36123,2017,Yates County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
