GEOID,year,name,parent_location,population,poverty_rate,pct_owner_occupied,pct_renter_occupied,median_rent,median_income,median_property_value,pct_rent_burden,pct_white_population,pct_african_american,pct_american_indian,pct_asian,pct_native_hawaiian_and_other_pacific_islander,pct_other,pct_multiple_races
36001,2017,Albany County,New York,309612,9.7,55.86942978,41.54916877,967,62621,219939,26.5,74.9,12.73,0.19,6.82,0,1.4,3.55
36003,2017,Allegany County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36005,2017,Bronx County,New York,1471160,26.7,18.44984924,80.46806046,1156,35953,390238,35.6,22.32,35.17,0.88,3.89,0.11,34.37,2.03
36007,2017,Broome County,New York,193639,16,64.47418239,33.39774137,703,45039,107502,26.5,85.56,5.77,0.21,4.59,0.05,0.66,2.72
36009,2017,Cattaraugus County,New York,77348,13.3,69.03831369,27.55958483,581,44859,85621,23.8,92.05,1.42,3.06,0.97,0,0.32,2.01
36011,2017,Cayuga County,New York,77603,8.6,70.92649618,25.3481055,692,52899,114462,24,91.45,3.71,0.01,0.53,0,0.72,2.91
36013,2017,Chautauqua County,New York,129046,15.1,69.82891446,27.03751876,620,43409,83431,29.1,91.49,2.39,0.1,0.62,0,2.92,2.16
36015,2017,Chemung County,New York,85557,11.8,65.54986461,30.98228558,744,46326,104166,26,87.62,7.38,0.06,1.96,0,0.82,1.96
36017,2017,Chenango County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36019,2017,Clinton County,New York,80980,9.9,61.86468647,33.81188119,694,53846,129959,22.2,90.35,4.63,0.25,1.44,0.16,1.75,1.32
36021,2017,Columbia County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36023,2017,Cortland County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36025,2017,Delaware County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36027,2017,Dutchess County,New York,295568,8.9,69.59985393,28.09286771,1128,73013,273778,30.8,78.61,10.28,0.32,4.02,0.02,3.41,2.63
36029,2017,Erie County,New York,925528,13.6,63.60027199,34.9696621,775,54380,150927,29.2,77.44,13.31,0.52,3.66,0.03,2.22,2.37
36031,2017,Essex County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36033,2017,Franklin County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36035,2017,Fulton County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
