,Unnamed: 0,Client: Create Date/Time,Client's City,zipcode,county,Client's Location,Presenting Needs: Taxonomy Code,category_code,category_sub,latitude,longitude
47,3578,01/13/2017 06:51:34.972397 MST,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
48,3592,01/28/2017 16:54:15.038426 MST,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
49,3634,01/12/2017 09:13:46.479054 MST,ALTAMONT,12009,ALBANY,Albany,DT-8800,D,DT,42.698692,-74.03148
50,3636,01/12/2017 08:49:39.058714 MST,ALTAMONT,12009,ALBANY,Albany,DT-8800,D,DT,42.698692,-74.03148
51,3732,10/31/2017 08:57:16.735026 MDT,ALTAMONT,12009,ALBANY,Albany,YZ-1740,Y,YZ,42.698692,-74.03148
52,3818,01/23/2017 08:43:15.749429 MST,ALTAMONT,12009,ALBANY,Albany,DT-8800,D,DT,42.698692,-74.03148
53,3862,01/14/2017 07:55:57.515085 MST,ALTAMONT,12009,ALBANY,Albany,DT-8800,D,DT,42.698692,-74.03148
54,3868,01/07/2017 09:41:01.561966 MST,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
55,3878,06/05/2017 08:44:38.608009 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
56,3879,06/05/2017 08:36:25.734039 MDT,ALTAMONT,12009,ALBANY,Albany,DD-1500.0650,D,DD,42.698692,-74.03148
57,4234,09/21/2017 12:31:33.340037 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
58,4291,08/30/2017 13:45:11.843758 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
59,4295,08/29/2017 13:58:18.405944 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
60,4501,04/25/2017 06:26:14.202153 MDT,ALTAMONT,12009,ALBANY,Albany,TI-1800.9000-050,T,TI,42.698692,-74.03148
61,4564,05/20/2017 13:07:35.091877 MDT,ALTAMONT,12009,ALBANY,Albany,FL-8200,F,FL,42.698692,-74.03148
