,Client: Create Date/Time,Client's City,Client's Zip,county,Client's Location,Presenting Needs: Taxonomy Code,category_code,category_sub,latitude,longitude
11861,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,ND-9200.8000-700,N,ND,43.0675747,-73.7784538
11862,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,ND-9200.8000-700,N,ND,43.0675747,-73.7784538
11863,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,ND-9200.8000-700,N,ND,43.0675747,-73.7784538
11864,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,ND-9200.8000-700,N,ND,43.0675747,-73.7784538
11865,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,BT-4500.6500-500,B,BT,43.0675747,-73.7784538
11866,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,BT-4500.6500-500,B,BT,43.0675747,-73.7784538
11867,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,BT-4500.6500-500,B,BT,43.0675747,-73.7784538
11868,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,BT-4500.6500-500,B,BT,43.0675747,-73.7784538
11869,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,BT-4500.6500-500,B,BT,43.0675747,-73.7784538
11870,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,TJ-3000.8000,T,TJ,43.0675747,-73.7784538
11871,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,TJ-3000.8000,T,TJ,43.0675747,-73.7784538
11872,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,TJ-3000.8000,T,TJ,43.0675747,-73.7784538
11873,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,TJ-3000.8000,T,TJ,43.0675747,-73.7784538
11874,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,TJ-3000.8000,T,TJ,43.0675747,-73.7784538
11875,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,LH-5100.3300,L,LH,43.0675747,-73.7784538
11876,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,LH-5100.3300,L,LH,43.0675747,-73.7784538
11877,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,LH-5100.3300,L,LH,43.0675747,-73.7784538
11878,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,LH-5100.3300,L,LH,43.0675747,-73.7784538
11879,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,LH-5100.3300,L,LH,43.0675747,-73.7784538
11880,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,LH-5100.5000,L,LH,43.0675747,-73.7784538
11881,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,LH-5100.5000,L,LH,43.0675747,-73.7784538
11882,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,LH-5100.5000,L,LH,43.0675747,-73.7784538
11883,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,LH-5100.5000,L,LH,43.0675747,-73.7784538
11884,01/14/2016 11:30:33.22992 MST,HADLEY,12835,SARATOGA,Saratoga,LH-5100.5000,L,LH,43.0675747,-73.7784538
11885,11/14/2016 12:29:20.496842 MST,BURNT HILLS,12027,SARATOGA,Schenectady,RM-6500.1500,R,RM,43.0675747,-73.7784538
11886,11/14/2016 12:29:20.496842 MST,BURNT HILLS,12027,SARATOGA,Schenectady,RM-6500.1500,R,RM,43.0675747,-73.7784538
11887,11/14/2016 12:29:20.496842 MST,BURNT HILLS,12027,SARATOGA,Schenectady,RM-6500.1500,R,RM,43.0675747,-73.7784538
