,Unnamed: 0,Client: Create Date/Time,Client's City,zipcode,county,Client's Location,Presenting Needs: Taxonomy Code,category_code,category_sub,latitude,longitude
0,0,05/31/2018 11:30:39.454934 MDT,ALBANY,12202,ALBANY,Albany,DT-9585,D,DT,42.640129,-73.76061
1,8,05/29/2018 11:06:09.120364 MDT,ALBANY,12202,ALBANY,Albany,NT-8900,N,NT,42.640129,-73.76061
2,11,05/17/2018 12:06:20.054464 MDT,ALBANY,12202,ALBANY,Albany,TI-1800.3000-200,T,TI,42.640129,-73.76061
3,12,05/17/2018 12:06:20.054464 MDT,ALBANY,12202,ALBANY,Albany,TI-1800.3000-200,T,TI,42.640129,-73.76061
4,13,05/17/2018 12:06:20.054464 MDT,ALBANY,12202,ALBANY,Albany,BM-3000.2000-250,B,BM,42.640129,-73.76061
5,14,05/17/2018 12:06:20.054464 MDT,ALBANY,12202,ALBANY,Albany,BM-3000.2000-250,B,BM,42.640129,-73.76061
6,30,04/17/2018 10:53:52.321212 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
7,33,04/17/2018 09:10:00.973433 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
8,35,04/17/2018 08:17:44.446033 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
9,51,04/16/2018 10:39:32.793171 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
10,98,04/05/2018 14:48:21.547299 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
11,102,04/05/2018 09:09:31.295434 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
12,110,04/02/2018 11:20:09.623678 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
13,114,04/09/2018 12:21:38.970831 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
14,115,04/09/2018 12:21:38.970831 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
15,119,04/02/2018 07:06:39.619005 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
16,121,03/30/2018 07:12:31.203085 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
17,124,04/04/2018 12:48:04.575467 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
18,126,04/04/2018 09:29:45.182328 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
19,129,04/04/2018 08:47:17.112618 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
20,139,03/27/2018 09:29:46.797908 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
21,145,03/26/2018 12:52:03.910924 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
22,152,03/19/2018 13:14:56.066518 MDT,ALBANY,12202,ALBANY,Albany,BH-0500,B,BH,42.640129,-73.76061
23,153,03/19/2018 13:14:56.066518 MDT,ALBANY,12202,ALBANY,Albany,BH-0500,B,BH,42.640129,-73.76061
24,154,03/19/2018 13:14:56.066518 MDT,ALBANY,12202,ALBANY,Albany,PH-6500.0500,P,PH,42.640129,-73.76061
25,155,03/19/2018 13:14:56.066518 MDT,ALBANY,12202,ALBANY,Albany,PH-6500.0500,P,PH,42.640129,-73.76061
26,167,03/09/2018 17:24:50.885102 MST,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
27,174,03/22/2018 18:57:12.712067 MDT,ALBANY,12202,ALBANY,Albany,TJ-3000.8000,T,TJ,42.640129,-73.76061
28,179,03/22/2018 13:18:46.77698 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
29,180,03/22/2018 12:31:46.756313 MDT,ALBANY,12202,ALBANY,Albany,YJ-8800,Y,YJ,42.640129,-73.76061
30,193,03/07/2018 14:27:47.413238 MST,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
31,205,03/13/2018 12:52:38.888643 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
32,209,03/13/2018 08:52:50.040004 MDT,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
33,221,03/01/2018 07:58:54.973393 MST,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
34,223,02/28/2018 12:29:17.584565 MST,ALBANY,12202,ALBANY,Albany,DT-8800,D,DT,42.640129,-73.76061
35,224,02/28/2018 12:14:48.072247 MST,ALBANY,12202,ALBANY,Albany,DT-8800,D,DT,42.640129,-73.76061
36,251,02/20/2018 10:06:29.558495 MST,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
37,260,02/16/2018 11:03:17.792576 MST,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
38,264,02/23/2018 09:39:33.518975 MST,ALBANY,12202,ALBANY,Albany,HL-8700.8000,H,HL,42.640129,-73.76061
39,270,02/12/2018 16:54:27.657928 MST,ALBANY,12202,ALBANY,Albany,DT-8800,D,DT,42.640129,-73.76061
40,280,02/20/2018 07:24:03.247081 MST,ALBANY,12202,ALBANY,Albany,,,,42.640129,-73.76061
41,281,02/19/2018 15:00:45.567355 MST,ALBANY,12202,ALBANY,Albany,DT-8800,D,DT,42.640129,-73.76061
42,283,02/17/2018 13:50:44.466335 MST,ALBANY,12202,ALBANY,Albany,DT-8800,D,DT,42.640129,-73.76061
43,285,02/17/2018 12:16:22.712663 MST,ALBANY,12202,ALBANY,Albany,DT-8800,D,DT,42.640129,-73.76061
44,292,02/06/2018 12:24:23.848084 MST,ALBANY,12202,ALBANY,Albany,BH-3800.7000,B,BH,42.640129,-73.76061
45,296,02/09/2018 14:26:33.402161 MST,ALBANY,12202,ALBANY,Albany,DT-8800,D,DT,42.640129,-73.76061
