,Client: Create Date/Time,Client's City,Client's Zip,county,Client's Location,Presenting Needs: Taxonomy Code,category_code,category_sub,latitude,longitude
0,05/31/2018 11:30:39.454934 MDT,ALBANY,12202,ALBANY,Albany,DT-9585,D,DT,42.6525793,-73.7562317
1,05/31/2018 06:42:34.269374 MDT,ALBANY,12209,ALBANY,Albany,TE-8000.8200-650,T,TE,42.6525793,-73.7562317
2,05/30/2018 13:48:54.912235 MDT,ALBANY,12206,ALBANY,Albany,HH-0500.2500-250,H,HH,42.6525793,-73.7562317
3,05/30/2018 13:48:54.912235 MDT,ALBANY,12206,ALBANY,Albany,HH-0500.2500-250,H,HH,42.6525793,-73.7562317
4,05/30/2018 13:23:56.449706 MDT,WATERVLIET,12189,ALBANY,Albany,TJ-3000.8000,T,TJ,42.6525793,-73.7562317
5,05/30/2018 08:34:32.978659 MDT,ALBANY,12206,ALBANY,Albany,,,,42.6525793,-73.7562317
6,05/30/2018 07:22:57.38512 MDT,ALBANY,12206,ALBANY,Albany,BH-3900.3100,B,BH,42.6525793,-73.7562317
7,05/29/2018 11:23:25.412496 MDT,ALBANY,12205,ALBANY,Albany,BH-3800.7000,B,BH,42.6525793,-73.7562317
8,05/29/2018 11:06:09.120364 MDT,ALBANY,12202,ALBANY,Albany,NT-8900,N,NT,42.6525793,-73.7562317
9,05/18/2018 09:41:15.136852 MDT,ALBANY,12209,ALBANY,Albany,,,,42.6525793,-73.7562317
10,05/18/2018 08:33:36.668267 MDT,ALBANY,12204,ALBANY,Albany,FT-3600,F,FT,42.6525793,-73.7562317
11,05/17/2018 12:06:20.054464 MDT,ALBANY,12202,ALBANY,Albany,TI-1800.3000-200,T,TI,42.6525793,-73.7562317
12,05/17/2018 12:06:20.054464 MDT,ALBANY,12202,ALBANY,Albany,TI-1800.3000-200,T,TI,42.6525793,-73.7562317
13,05/17/2018 12:06:20.054464 MDT,ALBANY,12202,ALBANY,Albany,BM-3000.2000-250,B,BM,42.6525793,-73.7562317
14,05/17/2018 12:06:20.054464 MDT,ALBANY,12202,ALBANY,Albany,BM-3000.2000-250,B,BM,42.6525793,-73.7562317
15,05/04/2018 12:50:30.708027 MDT,ALBANY,12208,ALBANY,Albany,TJ-3200.2500,T,TJ,42.6525793,-73.7562317
16,05/04/2018 12:16:03.549076 MDT,ALBANY,12210,ALBANY,Albany,,,,42.6525793,-73.7562317
17,04/30/2018 10:51:09.732535 MDT,ALBANY,12203,ALBANY,Albany,LH-2600.1700,L,LH,42.6525793,-73.7562317
18,04/27/2018 13:15:26.466633 MDT,WATERVLIET,12189,ALBANY,Albany,PH-6500.0500,P,PH,42.6525793,-73.7562317
19,04/27/2018 07:20:09.845343 MDT,ALBANY,12206,ALBANY,Albany,,,,42.6525793,-73.7562317
20,04/26/2018 13:50:37.841306 MDT,WATERVLIET,12189,ALBANY,Albany,BV-8900.9120,B,BV,42.6525793,-73.7562317
21,04/26/2018 13:21:49.17736 MDT,ALBANY,12206,ALBANY,Albany,,,,42.6525793,-73.7562317
22,04/21/2018 17:12:06.158905 MDT,ALBANY,12201,ALBANY,Albany,BH-3900.3100,B,BH,42.6525793,-73.7562317
23,04/20/2018 10:00:57.8327 MDT,ALBANY,12206,ALBANY,Albany,,,,42.6525793,-73.7562317
24,04/19/2018 18:14:42.962258 MDT,ALBANY,12205,ALBANY,Albany,FT-4500.4600,F,FT,42.6525793,-73.7562317
25,04/19/2018 18:14:42.962258 MDT,ALBANY,12205,ALBANY,Albany,FT-4500.4600,F,FT,42.6525793,-73.7562317
