"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied"
"0500000US36001","Albany County, New York","125329","2110","68218","2562","57111","3157"
"0500000US36005","Bronx County, New York","498539","3078","96282","4190","402257","4695"
"0500000US36007","Broome County, New York","76957","2045","49381","1838","27576","2264"
"0500000US36009","Cattaraugus County, New York","31409","1137","22810","996","8599","1152"
"0500000US36011","Cayuga County, New York","30966","1110","21833","1063","9133","1139"
"0500000US36013","Chautauqua County, New York","51705","1835","35199","1384","16506","1691"
"0500000US36015","Chemung County, New York","34418","1411","22271","1280","12147","1435"
"0500000US36019","Clinton County, New York","30624","1203","21466","1355","9158","1252"
"0500000US36027","Dutchess County, New York","108200","2382","73235","2445","34965","2336"
"0500000US36029","Erie County, New York","380473","3446","246666","4149","133807","4451"
"0500000US36045","Jefferson County, New York","41415","1556","24188","1300","17227","1588"
"0500000US36047","Kings County, New York","941871","4738","277746","6184","664125","6979"
"0500000US36051","Livingston County, New York","23904","915","17829","1119","6075","1059"
"0500000US36053","Madison County, New York","25612","1346","20207","1173","5405","995"
"0500000US36055","Monroe County, New York","299224","3017","188269","3248","110955","3639"
"0500000US36059","Nassau County, New York","440785","2860","354646","4602","86139","4584"
"0500000US36061","New York County, New York","748293","8650","172324","6034","575969","10368"
"0500000US36063","Niagara County, New York","86786","2310","61439","2584","25347","1886"
"0500000US36065","Oneida County, New York","87929","2138","61217","1943","26712","2036"
"0500000US36067","Onondaga County, New York","182984","3063","118167","2950","64817","3272"
"0500000US36069","Ontario County, New York","45187","1314","32518","1473","12669","1236"
"0500000US36071","Orange County, New York","124365","2193","78678","2615","45687","2715"
"0500000US36075","Oswego County, New York","44633","1313","31518","1459","13115","1275"
"0500000US36079","Putnam County, New York","34762","1247","27300","1377","7462","1247"
"0500000US36081","Queens County, New York","761819","5689","335984","6461","425835","7016"
"0500000US36083","Rensselaer County, New York","62816","1588","39666","1792","23150","2089"
"0500000US36085","Richmond County, New York","164289","2449","115862","3264","48427","3087"
"0500000US36087","Rockland County, New York","99257","1652","68242","2075","31015","2089"
"0500000US36089","St. Lawrence County, New York","40479","1519","30002","1369","10477","1243"
"0500000US36091","Saratoga County, New York","93703","1741","67691","2197","26012","2204"
"0500000US36093","Schenectady County, New York","48720","1926","31705","1799","17015","1700"
"0500000US36101","Steuben County, New York","38458","1164","28003","1195","10455","1236"
"0500000US36103","Suffolk County, New York","474311","4927","374680","4938","99631","4066"
"0500000US36105","Sullivan County, New York","25031","1701","17852","1548","7179","1315"
"0500000US36109","Tompkins County, New York","37683","1516","20731","1301","16952","1689"
"0500000US36111","Ulster County, New York","68298","2281","46444","2017","21854","1700"
"0500000US36113","Warren County, New York","28841","1133","20086","1142","8755","1249"
"0500000US36117","Wayne County, New York","37496","901","28531","1392","8965","1338"
"0500000US36119","Westchester County, New York","342216","2884","207743","4910","134473","5045"
