"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied"
"0500000US36001","Albany County, New York","124144","2156","70645","2491","53499","2814"
"0500000US36005","Bronx County, New York","503985","3195","96497","4102","407488","4512"
"0500000US36007","Broome County, New York","78604","2009","51139","1755","27465","1884"
"0500000US36009","Cattaraugus County, New York","32360","1144","22695","1144","9665","1062"
"0500000US36011","Cayuga County, New York","30870","994","22335","1145","8535","962"
"0500000US36013","Chautauqua County, New York","51985","2010","36759","1862","15226","1714"
"0500000US36015","Chemung County, New York","32247","1594","21599","1506","10648","1151"
"0500000US36019","Clinton County, New York","31493","1193","19928","1183","11565","1320"
"0500000US36027","Dutchess County, New York","106043","1981","74491","2064","31552","2318"
"0500000US36029","Erie County, New York","386396","4036","247993","4811","138403","4693"
"0500000US36045","Jefferson County, New York","41548","1763","23230","1178","18318","1666"
"0500000US36047","Kings County, New York","956223","5436","290792","5861","665431","7293"
"0500000US36051","Livingston County, New York","24725","1147","18929","1037","5796","998"
"0500000US36053","Madison County, New York","26024","1451","20310","1235","5714","1039"
"0500000US36055","Monroe County, New York","301619","3421","190129","3873","111490","3809"
"0500000US36059","Nassau County, New York","446978","2927","357884","4240","89094","4274"
"0500000US36061","New York County, New York","764218","7019","188435","8035","575783","10276"
"0500000US36063","Niagara County, New York","88659","1679","63364","2251","25295","2034"
"0500000US36065","Oneida County, New York","88790","2407","59321","1847","29469","2360"
"0500000US36067","Onondaga County, New York","185709","2562","118830","2671","66879","3369"
"0500000US36069","Ontario County, New York","44414","1455","32877","1468","11537","1378"
"0500000US36071","Orange County, New York","127517","2481","89121","2627","38396","2797"
"0500000US36075","Oswego County, New York","45971","1507","33015","1580","12956","1438"
"0500000US36079","Putnam County, New York","34549","1117","28806","1385","5743","1248"
"0500000US36081","Queens County, New York","769258","5311","340570","5953","428688","7504"
"0500000US36083","Rensselaer County, New York","66127","1231","41619","1611","24508","1828"
"0500000US36085","Richmond County, New York","165990","2568","115499","3413","50491","3216"
"0500000US36087","Rockland County, New York","100167","1392","67461","2108","32706","2396"
"0500000US36089","St. Lawrence County, New York","41008","1362","30545","1407","10463","1455"
"0500000US36091","Saratoga County, New York","97021","1647","68673","2114","28348","2477"
"0500000US36093","Schenectady County, New York","49022","2193","34103","1804","14919","1551"
"0500000US36101","Steuben County, New York","38382","1623","29181","1408","9201","1044"
"0500000US36103","Suffolk County, New York","482099","5656","389864","7046","92235","5169"
"0500000US36105","Sullivan County, New York","25916","1865","17063","1506","8853","1502"
"0500000US36109","Tompkins County, New York","40230","1323","22242","1329","17988","1702"
"0500000US36111","Ulster County, New York","68822","2184","48219","2197","20603","1939"
"0500000US36113","Warren County, New York","27595","1268","20160","1297","7435","1184"
"0500000US36117","Wayne County, New York","36715","976","27023","1582","9692","1444"
"0500000US36119","Westchester County, New York","350919","3361","212819","4411","138100","4271"
