"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied"
"0500000US36059","Nassau County, New York","447123","3118","356619","4256","90504","4067"
"0500000US36071","Orange County, New York","128259","2556","86175","2675","42084","2508"
"0500000US36087","Rockland County, New York","99502","1638","68477","2059","31025","1882"
"0500000US36069","Ontario County, New York","44079","1553","32069","1377","12010","1303"
"0500000US36015","Chemung County, New York","34325","1210","22827","1353","11498","1108"
"0500000US36045","Jefferson County, New York","44657","1987","24413","1428","20244","2060"
"0500000US36029","Erie County, New York","390341","4209","251132","4056","139209","4548"
"0500000US36111","Ulster County, New York","69154","2116","46491","1851","22663","1654"
"0500000US36119","Westchester County, New York","352498","3458","213450","4334","139048","4954"
"0500000US36113","Warren County, New York","28007","1304","18836","1104","9171","1358"
"0500000US36063","Niagara County, New York","89765","1815","62228","1983","27537","2003"
"0500000US36079","Putnam County, New York","35425","1053","30027","1341","5398","1205"
"0500000US36051","Livingston County, New York","23746","1054","17583","1114","6163","1016"
"0500000US36103","Suffolk County, New York","496784","4540","394961","5587","101823","5284"
"0500000US36011","Cayuga County, New York","30083","1041","21114","1112","8969","1184"
"0500000US36047","Kings County, New York","969317","5651","296235","6276","673082","8194"
"0500000US36067","Onondaga County, New York","185046","2584","120620","2925","64426","3158"
"0500000US36001","Albany County, New York","126578","2481","71321","2653","55257","2874"
"0500000US36053","Madison County, New York","26127","1315","20311","1447","5816","1013"
"0500000US36081","Queens County, New York","788110","4493","356970","5944","431140","6279"
"0500000US36117","Wayne County, New York","35927","1087","28995","1398","6932","1019"
"0500000US36005","Bronx County, New York","507370","2944","93671","3578","413699","4701"
"0500000US36089","St. Lawrence County, New York","41680","1492","29841","1494","11839","1313"
"0500000US36085","Richmond County, New York","167441","2183","115872","2867","51569","2873"
"0500000US36093","Schenectady County, New York","55262","2067","34674","1828","20588","1652"
"0500000US36009","Cattaraugus County, New York","32079","1105","22926","1221","9153","1174"
"0500000US36055","Monroe County, New York","301668","2889","195347","3270","106321","3472"
"0500000US36105","Sullivan County, New York","28900","1706","18877","1333","10023","1552"
"0500000US36007","Broome County, New York","75539","2336","48458","2470","27081","2519"
"0500000US36027","Dutchess County, New York","108071","2214","73717","2263","34354","2242"
"0500000US36101","Steuben County, New York","40578","1158","29724","1254","10854","1080"
"0500000US36083","Rensselaer County, New York","64614","1585","40857","1647","23757","1771"
"0500000US36013","Chautauqua County, New York","53429","1794","37160","1340","16269","1710"
"0500000US36019","Clinton County, New York","31392","1414","21472","1660","9920","1507"
"0500000US36061","New York County, New York","752258","9358","180208","7327","572050","10750"
"0500000US36091","Saratoga County, New York","94156","2358","67254","2244","26902","2376"
"0500000US36109","Tompkins County, New York","40250","1478","22476","1072","17774","1756"
"0500000US36065","Oneida County, New York","88871","1761","58942","1801","29929","1812"
"0500000US36075","Oswego County, New York","46270","1427","34397","1329","11873","1314"
