"GEO_ID","NAME","B25064_001E","B25064_001M"
"id","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent"
"0500000US36001","Albany County, New York","998","31"
"0500000US36005","Bronx County, New York","1171","15"
"0500000US36007","Broome County, New York","745","42"
"0500000US36009","Cattaraugus County, New York","608","27"
"0500000US36011","Cayuga County, New York","736","44"
"0500000US36013","Chautauqua County, New York","644","24"
"0500000US36015","Chemung County, New York","820","76"
"0500000US36019","Clinton County, New York","753","59"
"0500000US36027","Dutchess County, New York","1167","39"
"0500000US36029","Erie County, New York","786","11"
"0500000US36045","Jefferson County, New York","1005","76"
"0500000US36047","Kings County, New York","1367","13"
"0500000US36051","Livingston County, New York","761","42"
"0500000US36053","Madison County, New York","781","79"
"0500000US36055","Monroe County, New York","905","16"
"0500000US36059","Nassau County, New York","1698","48"
"0500000US36061","New York County, New York","1601","41"
"0500000US36063","Niagara County, New York","690","36"
"0500000US36065","Oneida County, New York","726","30"
"0500000US36067","Onondaga County, New York","837","22"
"0500000US36069","Ontario County, New York","819","47"
"0500000US36071","Orange County, New York","1243","49"
"0500000US36075","Oswego County, New York","763","43"
"0500000US36079","Putnam County, New York","1479","304"
"0500000US36081","Queens County, New York","1500","16"
"0500000US36083","Rensselaer County, New York","913","46"
"0500000US36085","Richmond County, New York","1286","73"
"0500000US36087","Rockland County, New York","1460","68"
"0500000US36089","St. Lawrence County, New York","744","62"
"0500000US36091","Saratoga County, New York","1052","65"
"0500000US36093","Schenectady County, New York","885","43"
"0500000US36101","Steuben County, New York","665","62"
"0500000US36103","Suffolk County, New York","1697","34"
"0500000US36105","Sullivan County, New York","826","64"
"0500000US36109","Tompkins County, New York","1120","85"
"0500000US36111","Ulster County, New York","1077","49"
"0500000US36113","Warren County, New York","852","47"
"0500000US36117","Wayne County, New York","683","77"
"0500000US36119","Westchester County, New York","1507","30"
