"GEO_ID","NAME","B25064_001E","B25064_001M"
"id","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent"
"0500000US36001","Albany County, New York","945","30"
"0500000US36005","Bronx County, New York","1130","13"
"0500000US36007","Broome County, New York","745","37"
"0500000US36009","Cattaraugus County, New York","619","34"
"0500000US36011","Cayuga County, New York","731","35"
"0500000US36013","Chautauqua County, New York","618","34"
"0500000US36015","Chemung County, New York","780","50"
"0500000US36019","Clinton County, New York","759","27"
"0500000US36027","Dutchess County, New York","1142","44"
"0500000US36029","Erie County, New York","764","13"
"0500000US36045","Jefferson County, New York","942","72"
"0500000US36047","Kings County, New York","1343","11"
"0500000US36051","Livingston County, New York","679","51"
"0500000US36053","Madison County, New York","705","135"
"0500000US36055","Monroe County, New York","856","15"
"0500000US36059","Nassau County, New York","1634","53"
"0500000US36061","New York County, New York","1661","38"
"0500000US36063","Niagara County, New York","661","30"
"0500000US36065","Oneida County, New York","708","23"
"0500000US36067","Onondaga County, New York","807","20"
"0500000US36069","Ontario County, New York","831","48"
"0500000US36071","Orange County, New York","1159","40"
"0500000US36075","Oswego County, New York","730","27"
"0500000US36079","Putnam County, New York","1401","142"
"0500000US36081","Queens County, New York","1452","15"
"0500000US36083","Rensselaer County, New York","870","30"
"0500000US36085","Richmond County, New York","1245","51"
"0500000US36087","Rockland County, New York","1478","64"
"0500000US36089","St. Lawrence County, New York","703","53"
"0500000US36091","Saratoga County, New York","1044","72"
"0500000US36093","Schenectady County, New York","906","38"
"0500000US36101","Steuben County, New York","668","49"
"0500000US36103","Suffolk County, New York","1655","48"
"0500000US36105","Sullivan County, New York","752","76"
"0500000US36109","Tompkins County, New York","997","64"
"0500000US36111","Ulster County, New York","1010","49"
"0500000US36113","Warren County, New York","891","52"
"0500000US36117","Wayne County, New York","793","38"
"0500000US36119","Westchester County, New York","1431","29"
